0 65 1 -1 0
1 66 0 0 1
2 67 0 1 2
3 68 0 2 3
4 69 0 3 4
5 70 0 4 5
6 71 0 5 6
7 72 0 6 7
8 73 0 7 8
9 74 0 8 9
10 75 0 9 10
11 76 0 10 11
12 77 0 11 12
13 78 0 12 13
14 79 0 13 14
15 80 0 14 15
16 81 0 15 16
17 82 0 16 17
18 83 0 17 18
19 84 0 18 19
20 85 0 19 20
21 86 0 20 21
22 87 0 21 22
23 88 0 22 23
24 89 0 23 24
25 90 0 24 25
26 91 0 25 26
27 92 0 26 27
28 93 0 27 28
29 94 0 28 29
30 95 0 29 30
31 96 0 30 31
32 97 0 31 32
33 98 0 32 33
34 99 0 33 34
35 100 0 34 35
36 101 0 35 36
37 102 0 36 37
38 103 0 37 38
39 104 0 38 39
40 105 0 39 40
41 106 0 40 41
42 107 0 41 42
43 108 0 42 43
44 109 0 43 44
45 110 0 44 45
46 111 0 45 46
47 112 0 46 47
48 113 0 47 48
49 114 0 48 49
50 115 0 49 50
51 116 0 50 51
52 117 0 51 52
53 118 0 52 53
54 119 0 53 54
55 120 0 54 55
56 121 0 55 56
57 122 0 56 57
58 123 0 57 58
59 124 0 58 59
60 125 0 59 60
61 126 0 60 61
62 127 0 61 62
63 128 0 62 63
64 129 1 63 -1
0 1 1 0 -1
1 2 1 1 -1
2 3 1 2 -1
3 4 1 3 -1
4 5 1 4 -1
5 6 1 5 -1
6 7 1 6 -1
7 8 1 7 -1
8 9 1 8 -1
9 10 1 9 -1
10 11 1 10 -1
11 12 1 11 -1
12 13 1 12 -1
13 14 1 13 -1
14 15 1 14 -1
15 16 1 15 -1
16 17 1 16 -1
17 18 1 17 -1
18 19 1 18 -1
19 20 1 19 -1
20 21 1 20 -1
21 22 1 21 -1
22 23 1 22 -1
23 24 1 23 -1
24 25 1 24 -1
25 26 1 25 -1
26 27 1 26 -1
27 28 1 27 -1
28 29 1 28 -1
29 30 1 29 -1
30 31 1 30 -1
31 32 1 31 -1
32 33 1 32 -1
33 34 1 33 -1
34 35 1 34 -1
35 36 1 35 -1
36 37 1 36 -1
37 38 1 37 -1
38 39 1 38 -1
39 40 1 39 -1
40 41 1 40 -1
41 42 1 41 -1
42 43 1 42 -1
43 44 1 43 -1
44 45 1 44 -1
45 46 1 45 -1
46 47 1 46 -1
47 48 1 47 -1
48 49 1 48 -1
49 50 1 49 -1
50 51 1 50 -1
51 52 1 51 -1
52 53 1 52 -1
53 54 1 53 -1
54 55 1 54 -1
55 56 1 55 -1
56 57 1 56 -1
57 58 1 57 -1
58 59 1 58 -1
59 60 1 59 -1
60 61 1 60 -1
61 62 1 61 -1
62 63 1 62 -1
63 64 1 63 -1
65 66 1 -1 0
66 67 1 -1 1
67 68 1 -1 2
68 69 1 -1 3
69 70 1 -1 4
70 71 1 -1 5
71 72 1 -1 6
72 73 1 -1 7
73 74 1 -1 8
74 75 1 -1 9
75 76 1 -1 10
76 77 1 -1 11
77 78 1 -1 12
78 79 1 -1 13
79 80 1 -1 14
80 81 1 -1 15
81 82 1 -1 16
82 83 1 -1 17
83 84 1 -1 18
84 85 1 -1 19
85 86 1 -1 20
86 87 1 -1 21
87 88 1 -1 22
88 89 1 -1 23
89 90 1 -1 24
90 91 1 -1 25
91 92 1 -1 26
92 93 1 -1 27
93 94 1 -1 28
94 95 1 -1 29
95 96 1 -1 30
96 97 1 -1 31
97 98 1 -1 32
98 99 1 -1 33
99 100 1 -1 34
100 101 1 -1 35
101 102 1 -1 36
102 103 1 -1 37
103 104 1 -1 38
104 105 1 -1 39
105 106 1 -1 40
106 107 1 -1 41
107 108 1 -1 42
108 109 1 -1 43
109 110 1 -1 44
110 111 1 -1 45
111 112 1 -1 46
112 113 1 -1 47
113 114 1 -1 48
114 115 1 -1 49
115 116 1 -1 50
116 117 1 -1 51
117 118 1 -1 52
118 119 1 -1 53
119 120 1 -1 54
120 121 1 -1 55
121 122 1 -1 56
122 123 1 -1 57
123 124 1 -1 58
124 125 1 -1 59
125 126 1 -1 60
126 127 1 -1 61
127 128 1 -1 62
128 129 1 -1 63
